candidate_id,proposed_status,rgi_id,glims_id,evidence_source,evidence_locator,mapping_method,dependence_cluster,reviewer_1,reviewer_2,reviewer_1_decision,reviewer_2_decision,review_state,note
eqip-sermia-2014,no_rgi_object,,,dohmen2025data;doi:10.5067/F6JMOVY5NAVZ,"Event LTT_Greenland_2014; complete RGI 7 geometry query",named Greenland Ice Sheet outlet has no RGI 7 glacier object,eqip-sermia-2014,,,,,pending,"The inventory point is about 45 km from the nearest RGI 7 peripheral glacier; retain rather than substitute a receiving or neighboring glacier"
tinguiririca-2007,proposed_unique,RGI2000-v7.0-G-17-24917,G289661E34832S,kaab2021,"Table 1; Figures 17-18",published event point lies within the mapped southern-flank glacier,tinguiririca-2007,,,,,pending,"Kaab et al. report only a World Glacier Inventory identifier; the RGI link therefore requires map review"
flat-creek-2013,proposed_unique,RGI2000-v7.0-G-01-14140,G218441E61638N,kaab2021,"Table 1; Section 3.7; Figure 14",exact published GLIMS identifier,flat-creek-2013,,,,,pending,"The table latitude is inconsistent with the GLIMS identifier and figure; the identifier is used and the conflicting coordinate remains visible"
shuraki-kapali-2017,proposed_unique,RGI2000-v7.0-G-13-19343,G070852E38974N,kaab2021;doi:10.5194/nhess-21-1409-2021,"Kaab Table 1; Dokukin Section 4.2 and Tables 3-4",exact published GLIMS identifier,site-petra-sk,,,,,pending,"The precise inventory point intersects a neighboring outline and is not substituted for the published identifier"
sedongpu-2018,proposed_unique,RGI2000-v7.0-G-13-71687,G094940E29811N,kaab2021,"Table 1; Sections 3.6.1-3.6.2; Figures 12-13",exact published GLIMS identifier,site-sedongpu,,,,,pending,"RGI 7 moved the glacier from RGI 6 region 13 to RGI 7 region 13-09; the basin point is not used as a source centroid"
marmolada-2022,proposed_unique,RGI2000-v7.0-G-11-03473,G011871E46438N,baroni2026;francese2025,"Baroni Section 1 and Figure 1; Francese mapped source",accepted initiating-source point within named Marmolada glacier,marmolada-2022,,,,,pending,"The small failed serac is a source patch within the RGI glacier rather than a separate RGI object"
bukadaban-2022,proposed_unique,RGI2000-v7.0-G-13-52167,G090873E35992N,kaab2026,Figure 1d,accepted detached-tongue point within RGI outline,bukadaban-2022,,,,,pending,"The published coordinate has a retained <=5 km uncertainty class"
dykhtau-2023,unresolved,,,bekkiev2024,Figures 1-3,no georeferenced source control or identifier,site-dykhtau,,,,,pending,"Several RGI glaciers occupy the north face; the source cannot be assigned uniquely from the accessible paper"
kunlun-b2-2001,proposed_unique,RGI2000-v7.0-G-13-52988,G094250E35673N,doi:10.1130/B25317.1;zhong2024data,"Mapped post-earthquake failures; HMA_ID_8_B2",published mapped event point within RGI outline,trigger-kunlun-2001,,,,,pending,"Shared earthquake dependence is retained"
kunlun-k2-2001,proposed_unique,RGI2000-v7.0-G-13-52928,G093533E35755N,doi:10.1130/B25317.1;zhong2024data,"Mapped post-earthquake failures; HMA_ID_9_K2",published mapped event point within RGI outline,trigger-kunlun-2001,,,,,pending,"The point lies near multiple small glaciers and requires map review; shared earthquake dependence is retained"
kunlun-b4-2001,proposed_unique,RGI2000-v7.0-G-13-52971,G094204E35661N,doi:10.1130/B25317.1;zhong2024data,"Mapped post-earthquake failures; HMA_ID_10_B4",published mapped event point within RGI outline,trigger-kunlun-2001,,,,,pending,"Shared earthquake dependence is retained"
aru-1-2016,proposed_unique,RGI2000-v7.0-G-13-59664,G082249E34023N,kaab2021;kaab2018,"Kaab 2021 Table 1; Kaab 2018 reconstruction",exact published GLIMS identifier,site-aru,,,,,pending,"Distinct source glacier retained within a common site cluster"
aru-2-2016,proposed_unique,RGI2000-v7.0-G-13-59658,G082268E34005N,kaab2021;kaab2018,"Kaab 2021 Table 1; Kaab 2018 reconstruction",exact published GLIMS identifier,site-aru,,,,,pending,"Distinct source glacier retained within a common site cluster"
petra-dp19,proposed_unique,RGI2000-v7.0-G-13-19418,G070689E38981N,kaab2021;doi:10.5194/nhess-21-1409-2021,"Kaab Table 1; Dokukin Tables 3-4 event dp-19",exact published GLIMS identifier,petra-dp19,,,,,pending,"The mapped inventory point is 0.04 km outside the RGI outline and the published identifier controls the link"
