search_id,executed_utc,reviewer,resource,resource_url,query,date_start,date_end,result_scope,climate_blind_check,notes
search-001,2026-08-31T00:50:00Z,codex-primary,PANGAEA,https://doi.org/10.1594/PANGAEA.979839,enumerate all dataset records,2000-01-01,2024-12-31,"all 355 downloaded rows representing 354 published cases",pass,"Batch logged immediately after execution; cause column ignored; subaerial and partially submerged entries passed to material and setting screen"
search-002,2026-08-31T00:50:00Z,codex-primary,Zenodo,https://doi.org/10.5281/zenodo.10458200,enumerate all dataset records,2000-01-01,2022-12-31,all 60 published inventory events,pass,"Batch logged immediately after execution; trigger column ignored; rows with compound dates expanded during identity screening"
search-003,2026-08-31T00:50:00Z,codex-primary,Wiley Online Library,https://doi.org/10.1029/2022RG000791,review public article event descriptions and attempt supporting dataset download,2000-01-01,2022-12-31,"article descriptions reviewed; spreadsheet access returned HTTP 403",pass,"Batch logged immediately after execution; retained as a cross-check rather than an enumerated frame"
search-004,2026-08-31T00:50:00Z,codex-primary,web_search,https://www.google.com/search?q=global+inventory+large+rock+avalanches+2000+2020+table+DOI,global inventory large rock avalanches 2000 2020 table DOI,2000-01-01,2026-08-30,first result page results 1-10,pass,"Batch logged immediately after execution; located global and regional inventory sources"
search-005,2026-08-31T00:50:00Z,codex-primary,web_search,https://www.google.com/search?q=global+database+glacier+detachments+catastrophic+collapses+inventory+2000+2024+DOI,global database glacier detachments catastrophic collapses inventory 2000 2024 DOI,2000-01-01,2026-08-30,first result page results 1-10,pass,"Batch logged immediately after execution; located glacier-detachment inventory and review sources"
search-006,2026-08-31T00:50:00Z,codex-primary,web_search,https://www.google.com/search?q=global+catalogue+landslide+generated+tsunamis+2000+fjord+DOI,global catalogue landslide generated tsunamis 2000 fjord DOI,2000-01-01,2026-08-30,first result page results 1-10,pass,"Batch logged immediately after execution; located the PANGAEA landslide-tsunami catalog"
search-007,2026-08-31T00:50:00Z,codex-primary,web_search,https://www.google.com/search?q=systematic+catalog+high+mountain+rock+ice+avalanches+21st+century+review,systematic catalog high mountain rock ice avalanches 21st century review,2000-01-01,2026-08-30,first result page results 1-10,pass,"Batch logged immediately after execution; located the High Mountain Asia and process-chain inventories"
search-008,2026-08-31T00:54:00Z,codex-primary,web_search,https://www.google.com/search?q=2024+rock+avalanche+mountain+volume,2024 rock avalanche mountain volume,2024-01-01,2024-12-31,first result page results 1-10,pass,"Supplemental search beyond structured-inventory publication dates"
search-009,2026-08-31T00:54:00Z,codex-primary,web_search,https://www.google.com/search?q=2025+rock+avalanche+glacier+fjord+landslide,2025 rock avalanche glacier fjord landslide,2025-01-01,2025-12-31,first result page results 1-10,pass,"Located Tracy Arm and Blatten records"
search-010,2026-08-31T00:54:00Z,codex-primary,web_search,https://www.google.com/search?q=2025+landslide+tsunami+fjord+rockslide+volume,2025 landslide tsunami fjord rockslide volume,2025-01-01,2025-12-31,first result page results 1-10,pass,"Located Tracy Arm primary and agency records"
search-011,2026-08-31T00:54:00Z,codex-primary,web_search,https://www.google.com/search?q=2026+glacier+collapse+rock+avalanche+mountain,2026 glacier collapse rock avalanche mountain,2026-01-01,2026-08-30,first result page results 1-10,pass,"Located the Nepal agency record and 2026 synthesis sources"
search-012,2026-08-31T00:56:00Z,codex-fjord-independent,multi_resource_web_search,https://www.google.com/,fjord and alpine-lake query suite transcribed in protocol/discovery-search-transcript.md,2000-01-01,2026-08-30,"first result page results 1-10 per query; PANGAEA; NOAA/NCEI; USGS; Copernicus; journal and agency results",pass,"Four exact queries and inspected resource classes are preserved in the transcript"
search-013,2026-08-31T00:56:00Z,codex-glacier-independent,multi_resource_web_search,https://www.google.com/,glacier and mixed-avalanche query suite transcribed in protocol/discovery-search-transcript.md,2000-01-01,2026-08-30,"first result page results 1-10 per query; journal; agency; repository; bulletin; and news-result leads",pass,"Exact queries and inspected domains are preserved in the transcript; primary-source sufficiency was screened separately"
search-014,2026-08-31T00:56:00Z,codex-rock-independent,multi_resource_web_search,https://www.google.com/,rock and rock-ice avalanche query suite transcribed in protocol/discovery-search-transcript.md,2000-01-01,2026-08-30,"first result page results 1-10 per query; journal; agency; inventory; repository; and bulletin results",pass,"Exact queries and inspected domains are preserved in the transcript; primary-source sufficiency was screened separately"
search-015,2026-08-31T01:15:53Z,codex-primary,web_search,https://www.google.com/search?q=site%3Ajournals.rcsi.science%2F2076-6734+Dykhtau+2023+glacier+avalanche+2024,site:journals.rcsi.science/2076-6734 Dykhtau 2023 glacier avalanche 2024,2023-01-01,2026-08-30,first result page results 1-10,pass,"Located the official 2026 Bartuytsete and Dykhtau 2025 comparison article; an independent glacier reviewer checked both threshold dispositions"
