assertion_id,candidate_id,latitude_deg,longitude_deg,geometry_role,evidence_method,horizontal_uncertainty_m,horizontal_uncertainty_class,source_id,source_locator,verbatim_label,digitization_details,extractor,verifier,review_state,review_note
coord-aru1-kaab2018,aru-1-2016,34.03,82.25,source_area_centroid,published_numeric,,le_5_km,kaab2018,Figure 1 and Results Aru-1 collapse,"Aru-1, 34.03 N 82.25 E",,codex-root,,pending,Rounded glacier location; source-area role awaits independent check
coord-aru2-kaab2018,aru-2-2016,34.01,82.25,source_area_centroid,published_numeric,,le_5_km,kaab2018,Figure 1 and Results Aru-2 collapse,"Aru-2, approximately 34.01 N 82.25 E",,codex-root,,pending,Rounded glacier location; source-area role awaits independent check
coord-chamoli-shugar2021,chamoli-2021,30.375,79.732,initiating_source,published_numeric,,le_1_km,shugar2021,Figure 1 and supplementary section 5.1,Ronti Peak initial rock and ice wedge,,codex-root,,pending,Paper-rounded source coordinate; independent map check pending
coord-dickson-svennevig2024,dickson-2023,72.81,-26.95,initiating_source,published_numeric,,le_1_km,svennevig2024,Figure 1 and supplementary text S1,Hvide Stoevhorn source gully,,codex-root,agent-audit-hma-frame,agree,Paper-rounded source gully coordinate; independent check pending
coord-tracy-shugar2026,tracy-arm-2025,57.85,-133.07,initiating_source,published_numeric,,le_1_km,shugar2026,Figure 1 morphology geometry and volume,Source slope beside South Sawyer Glacier,,codex-root,,pending,Paper-rounded source coordinate; independent check pending
coord-baige-li2023,baige-2018-oct,31.0823361,98.7049944,unspecified,published_numeric,,gt_5_km_or_unknown,li2023,Section 2.1 and Figure 1a,"Baige landslide, 31 deg 4 min 56.41 sec N; 98 deg 42 min 17.98 sec E",,codex-root,agent-audit-hma-frame,agree,Numeric point is a Baige event/village location; paper does not define a source-area centroid
coord-baige-nov-li2023,baige-2018-nov,31.0823361,98.7049944,unspecified,published_numeric,,gt_5_km_or_unknown,li2023,Section 2.1 and Figure 1a,Two successive Baige landslides at the same mapped site,,codex-root,agent-audit-hma-frame,agree,Paper focuses on the first event and does not establish a shared source-area centroid for both failures
coord-sedongpu2017-kaab2021,sedongpu-2017-oct,29.80,94.92,source_area_centroid,published_numeric,,le_5_km,kaab2021,Section 3.6 and Figures 12-13,North ridge of Gyala Peri above Sedongpu basin,,codex-root,,pending,Basin-rounded coordinate with mapped source; independent check pending
coord-sedongpu2018-kaab2021,sedongpu-2018,29.80,94.92,source_area_centroid,published_numeric,,le_5_km,kaab2021,Section 3.6.2 and Figures 12-13,Detached tongue of Sedongpu Glacier,,codex-root,,pending,Basin-rounded coordinate with mapped detachment; independent check pending
coord-sedongpu2021-zhao2022,sedongpu-2021-mar,29.80,94.92,source_area_centroid,published_numeric,,le_5_km,zhao2022,Sections 1-2 and Figure 1,Source at approximately 6500 m in Sedongpu basin,,codex-root,,pending,Basin-rounded coordinate with 0.5 m imagery source map; independent check pending
coord-paat-dohmen2025,paat-2000,70.22,-52.64,unspecified,published_numeric,,gt_5_km_or_unknown,dohmen2025data,Event LTT_Paatuut_2000 Latitude 2 and Longitude 2,tsunamigenic-landslide coordinate WGS84,,codex-root,agent-audit-hma-frame,agree,Differs materially from current catalog coordinate; inventory gives no horizontal uncertainty
